armleuchter				# dead head/fuckwit
arsch					# kiss my ass!
arschgeige 				# dickhead
arschgesicht 				# f*ckface / assface
arschkriecher				# ass-kisser, brown-nose
arschlecker				# ass-kisser, brown-nose
arschloch				# a-hole
arschloch				# asshole
bastard 				# Bastard!
blasen 		  	   		# to blow (fellatio)
bockmist 	     			# bullshit/bollocks
bumsen					# to screw/bang/get laid
bumslokal       			# red light bar
chwein					# pig, bastard, son of a bitch, swine. One of the worst words
drecksack				# asshole/shit (person)
drecksau	     			# filthy swine, bastard
drecksau 				# dirty pig
dreckskerl	     			# filthy swine, bastard
drecksnest				# armpit of the universe
dummkopf				# sh*thead
eier					# balls, nuts (lit. eggs)
eier					# balls/bollocks/nuts/goolies/cobblers
einhandsegeln				# to jerk off, wank, spank the monkey
einparken				# to have sex, get laid, bang
entsaften	  			# slang term for masturbation
faschos 				# fascists
fick 					# F*ck
ficken					# to fuck/lay/bang/screw
fickfehler 				# You f*cking mistake
flachwichser 				# f*ckwit (and other terms)
glatzen 				# skinheads ("baldies")
handmassage	  			# slang term for masturbation
hitlergruß 				# nazi salute (Hitler salute)
hobeln	  				# slang term for masturbation
knallen					# to bang, screw
kommen					# to come, have an orgasm
korinthenkacker				# pisser/fusspot
mist 					# This shit
mistkerl				# bastard, dirty swine
miststück				# bastard (m.), bitch (f.)
miststück 				# Bitch
möpse					# tits, boobs
neonazis 				# neo-Nazis
nutte					# tart/hooker/whore/pro
pisse					# piss/pee
pissen					# to piss, pee. 
rechtsextremisten 			# extreme right-wingers
rotfaschisten 				# red fascists
sack 					# bag, sac, sack; scrotum, balls (testicles); bastard, bugger, sod
sau					# sow, bitch, bastard. alte Landsau  stupid old bitch, dumb bastard (old country sow)
scham					# shame; private parts, genitals, vulva (fem.)
schamhaar				# pubic hair
scheide					# vagina
scheiß					# shit/crap
scheißauto    	   			# This f-ing car!
scheiße					# shit/crap / bullshit/bollocks
scheißen  				# to sh--, crap
scheißkerl  				# bastard, son-of-a-bitch, motherf---er
schlampe				# slut
schnepfe				# slag/slut/cock-teaster/tease
schwanz					# cock/prick/tool/tail/dong/dick
schwanz					# slang for penis
schweinehund				# bastard, swine
schweinekerl				# bastard, swine
