aasgeier				# vulture
alte					# old bag/bat
angeber					# braggart/boaster/loudmouth
arsch					# ass, arse; butt.
asoziale 				# asocials
asseln 					# asocials
assis 					# asocials
aufgeilen				# to wind up/get turned on
backpfeifengesicht   			# fish face
beinhart				# terrific/rock hart
bruchbude				# flea pit
bullenschwein   			# fuzz/the bill
depp 					# idiot
donnerwetter  	     			# Darn it!
dummkopf				# idiot/jerk
durchfall 				# diarrhea
dösbaddel				# jerk/moron/cretin
esel					# donkey/oaf
fettarsch				# fat arse
filzlaus				# pain in the arse
flegel					# brat/bounder (very old fashioned)
flitzerkacke 				# the sh--s
fresse					# shut it/shut your trap
furzen 					# to fart, cut one
fusel					# gut rot/plonk/hooch
für`n-arsch   				# bloody/fucking useless  <-- **problem**
geil					# horny/randy oder terrific/far out/magic also just cool/great
gesöff					# gut rot
giftzahn				# rat bag // fang
giftzwerg				# evil little devil/bastard
gruftis					# the old folk/straights oder
gummi					# condom
halsabschneider				# cut.throat
himmel					# Christ allmighty!/God damn it!
hirnrissig				# crazy/nuts
hornochse				# turkey/jerk/muttonhead
hurensohn 				# You son of a Bitch
hölle	     				# hell
kacke 					# caca, crap, sh--
kacken 					# to crap, poop, sh--
kamel					# spastic/dodo
kapital	 				# capitalistic
kiste					# boobs, tits; (big) butt
klugscheißer				# bogmouth/know-all/smart aleck
knacker					# old turd
knalltüte				# wimp/wet/twit
knutschfleck				# hickie, love bite
kondom					# condom
kotzbrocken				# pain (in the arse)
kotzen					# to throw up/puke/barf/spew/vomit
käsequanten				# stinkfeet
kümmerling				# runt/wimp
labern					# to rabbit on/blab/blabber
lahmarsch				# slowcoach
lahme ente				# lame duck
linke 					# leftists
linken					# to cheat
macker					# bloke/tough guy/macho
miefen					# to pong/reet/stink
nepp					# ripp off
nervensäge				# pain in the arse
pack					# pack
pampe					# mush
pariser					# condom
penner					# dosser
piefke					# brown-nose/creep / pompous idiot
pissnelke				# jerk/cow
plattmachen				# to bore/astonish
po					# bottom, behind, butt
pupsen 					# to cut one, fart
quacksalber				# quack
rechte 					# rightists
reihern					# to throw up/ride the porcelain bus
rotzfahne				# snot rag
rowdy					# hooligan/rowdy
rübe					# nob/noggon/conk
saftladen				# these people couldn`t organize a bunfight
sargnagel				# coffin nail
saufen					# to booze/raise in the elbow/get plastered
saumselig				# idle/feet-dragging
saustall				# pig sty
scharf					# hot, horny, sexually aroused
scheißegal 				# of no damned importance
scheißspiel				# lousy game/this game stinks
schluffig				# slouchy
schnarchsack				# snorer
schweinepriester			# creeping Jesus
sense					# It´s all over/Kiss your ass and goodbye
sheisse					# Shit
siff					# filth/crap/junk
stinkstiefel				# pratt
supergeil				# horny. but also slang for cool/great
transuse				# ragged arse/idle layabout
trottel					# fool/moron/nit
tussi					# skirt/crumpet
verdammt				# Damn!/Dammit
verdammt				# Damn!/Dammit / damned, bloody
verflucht 				# damn!
waschlappen				# waggler
zimtzicke				# moaning Minnie / dimwit
ätzend					# godawful
alter wichser				# old wanker
am arsch der welt			# in a Godforsaken hole
arsch sein   				# to be screwed up
blöde gans				# silly cow
breit sein   		        	# to be far gone(dope) or sloshed
das sauwetter				# damned/bloody/lousy weather
das stinkt mir				# that pisses me off
der pups 				# fart
der teufel				# devil
der teufel soll mich holen, wenn	# "I'll be damned if..."
der teufel wird los sein.		# "All hell's gonna break lose."
die sauarbeit				# damned/bloody/lousy work
die schweinerei				# mess, scandal; dirty trick; indecent act, dirt, filth. 
die unaussprechlichen			# one's unmentionables (humorous)
du gehst mir auf den sack		# You get on my nerves/wick/tits
du lusche				# useless idiot/jerk
du scheißt mich an 			# You're sh---in' me!/You're a pain in the ass!
du spinnst wohl				# You must be kidding/joking oder You must be off your head
dumme nuss				# moron/idiot
dumme pute				# daft Minnie/Fanny
ein kleiner piefke 			# little pipsqueak
faule socke				# a lazy bum (less harsh than "fauler Sack")
fauler sack				# a lazy bum, lazy bastard/bugger (harshness depends on circumstances/tone of voice)
fauler zauber				# dirty deal/cheat
feiger hund				# coward/yellowbelly
geh zum teufel				# "Go to hell!"
geiler bock				# randy/horny so and so
geiles luder				# nympho
halts maul				# shut your face/gob/trap
hol dich der teufel			# "Go to hell!"
ich bin scharf auf ihn 			# I have the hots for him.
ich scheiß' d'rauf 			# I don't give a damn/f---/sh-- (about that)!
in den arsch gehen			# to get screwed up
politbonzen capitalistic 		# political fat-cats
reiß dich am riemen			# Get a grip!/Pull yourself together!
rote sau				# pinko
scher dich zum teufel			# "Go to hell!"
setz deinen arsch in bewegung		# Get your ass in gear!
sie machte ihm das leben zur hölle	# She made his life a living hell.
sturer bock   	 	        	# stubborn old goat
vergammeltes loch			# hole/dive
verpiss dich				# Piss off/get lost
versifft				# filth/crap/junk
weißer spiesser				# WASP ("White Anglo-Saxon Protestant")
wer zum Teufel hat das gemacht		# "Who the hell did that?"
zieh leine				# Piss off/Get lost/make tracks
zum donnerwetter    			# Damn it!
zum teufel				# "Dammit!"
