bicho		# cock
cabron		# motherf*cker / f*cker
cabrón		# motherf*cker / f*cker
cacorro		# person who enjoy to fuck others in the ass
cagar		# to shit
cago		# i shit
capullo		# asshole / jerk
chinga		# fuck you
chingados	# ffff
chingas		# fuck you
chingate	# fuck you / go fuck yourself
chingé		# fucked
chucha		# c*nt / body odor / bitch
chupame		# suck me
chupamela	# suck it
chupapollas	# cocksucker
chupas		# suckers
coger		# to fuck
cojeme		# fuck?
cojer
cojonado
cojones		# balls, but can be good
cojón		# balls
concha		# c*nt
conchetumare
connard		# connard
coprofagía	# eat shit
coño		# lierally: vagina / c*nt / fuck, damn / jerk, idiot / Spaniard
culiao		# someone who just had anal sex
follador	# fucking
follar		# fuck around
folle		# fuck
jilipollas	# asshole
jodan		# fuck
jodas		# fuck
joder		# fuck
joderse		# fuck
jodido		# fuck
jodieron	# fuck
maciza
macizorra	# something bitch
maldito		# darn
malparida	# slut
malparido	# slut
mamabicho	# cocksucker
mamada		# blow job
mamahuevo	# cocksucker
maraca		# slut
maricon		# fag / p*ssy
mariconazo	# fag / p*ssy
maricón		# fag / p*ssy
mierda		# shit / fuck exclaimation
mondá		# dick, penis
mongolo		# retarded
pajero		# jerk-off / masterbater
panocha		# vulva / coward / vagina
perra		# bitch
pete		# fellatio, sucking a cock
pija		# cock
pinche		# fuckin'
piruja		# hooker
puta		# adjective: fucking / bitch
puta		# whore
putero		# [a] fucking lot [of] 
puto		# adjective: fucking / male whore
puto		# whore
raja		# vagina or female ass
ramera		# harlot
shitter		# shitter
skonka		# scandalous slut
soplagaitas	# blowing bagpipes...
soplapollas	# blowing cocks
tarado		# douchbag / retard, moron
vendejo		# dickhead
verga		# dick / penis
zopupla		# slut
zorra		# slut
zunga		# bitch, prostitute
