apestar	     	# to suck
asesinato    	# murder
asno	     	# donkey, ass
bastardo	# bastard
boludo		# big balls, dumb/naive
bruja	     	# witch
cabrón		# cheater / bastard / male goat / asshat
caca	     	# poop
cachimba     	# hookah
cachondo	# horny
capullo		# bud, jerk / foreskin
carajo		# fuck, damn it
chancla		# dyke
chichis	     	# boobs
chichota	# boob
chichotas	# boobs
chinga		# holy shit / go to hell / awful, bad
chingada	# holy shit / go to hell / awful, bad
chingados	# holy shit / go to hell / awful, bad
chingalo	# holy shit / go to hell / awful, bad
chingar		# holy shit / go to hell / awful, bad
chingate	# holy shit / go to hell / awful, bad
culero		# coward / asshole / central america: homosexual
culo		# ass
esperma		# sperm
estúpido	# stupid
forro		# asshole
ganas		# horny
gilipichis	# dick
gilipollas	# dick / bastard, shithead
heroína
hijaputa	# son of a bitch
hijoputa	# son of a bitch
hijueputa	# son of a bitch
hostia		# fuck
huevo		# obviously egg, but also penis / fuck off
idiota
imbécil
infierno	# hell
ingle		# groin
jodan		# fuck you
jodas		# fuck, fuck, fuck
jode		# i fucked
joder		# to fuck
jodete		# fuck off/you
joto		# gay, pansy, effeminate
jódete
kapullo		# bud, jerk / foreskin
marica		# gay / buddy, dude 
orina		# urine
pelotudo	# big balls, dumb/naive
pendejo		# fool, idiot / jackass / asshole / dickhead / literally: pubic hair
pervertido	# perverted
pezón		# nipple
pinche		# in castilian spanish it's only sous chef or part of a kitchen, in central america it can mean tiny, stingy, very little. elsewhere it means damn, or f*cking
pis		# pee
prostituta
racista
sexo		# sex
sádico		# sadistic
travesti	# transvestite
