bite			# vulgar male body part (not someone who acts like one)
bordel			# brothel
casse-couille		# a buster/a troublemaker/pain in the ass
casse-toi		# f*ck off
chatte			# vulgar female body part (not someone who acts weak)
chier			# to shit
connard			# asshole/ b*tch more obscene/harsh than con/conne
connasse		# c*#t / b*tch more obscene/harsh than con/conne
couille			# testicle
couillon		# obscene way to say “idiot,” means “little testicle”
couillonne		# obscene way to say “idiot,” means “little testicle”
ducon			# asshole / insipid idiot
dégage			# piss off! / Fuck off!
dégager			# Fuck off! verb
dégénéré 		# inbred		
emmerder		# “to immerse in shit.”
emmerdeur		# Pain in the ass/shit-stirrer
emmerdeuse 		# Pain in the ass/shit-stirrer
enculer			# to bugger/fuck in the ass
enculé			# An asshole
enculée			# An asshole
enfoiré			# Asshole
enfoirée		# Asshole
foutre			# the obscene helping verb... “to do”.
garce			# Bitch
merdasse       	  	# A more vulgar version of merde.
nique			# *#$%
putain			# Fuck.  Literally “whore”
pute   	  	    	# “Whore”. By extension, “slut.”
pétasse			# “Whore”. By extension, “slut.”
salaud			# A real son of a bitch /  c*nt / bastard
sale			# “Dirty/Rotten”
salope			# A real son of a bitch / slut, cow / c*nt / bastard
trouduc			# The literal, vulgar way to say asshole (body part)
aller se faire foutre	# Fuck off /Go fuck yourself.
bordel de merde		# oh fuck expression / not literal: brothel of shit
casser les couilles	# Literally “to break someone’s balls”
encule toi salaud	# Fuck you bitch
enculer les mouche	# to fuck flies in the ass
ferme ta gueule		# shut the f*ck up”…on steroids.
files de pute		# Literally “son of a whore.”
film de cul		# “ass film” / porno
fils de pute		# Literally “son of a whore.”
foutre la merde		# to fuck up
foutre le bordel	# Make a bloody mess. literal or figurative.
j'en ai plus rien à foutre	# I couldn't give a flying fuck	
j'en ai ral le cul    	# I'm so fucking fed up
j'en ai rien à cirer	# I couldn't give a fuck	
je m’en bats les couilles # I don’t give a fuck
je m’en fous		# I don’t give a fuck.
je t’emmerde		# basically, Screw you!
ne rien foutre		# To do fuckall
nique ta mere		# *#$% your mother
nique ta mère		# *#$% your mother
partir en couille	# To go to shit
putain de bordel de merde # French people say when they’re really, REALLY mad!
putain de merde		# French people say when they’re really mad!
rien à foutre		# Don’t give a fuck
se casser   		# to fuck off
se foutre dans la merde	# Fuck yourself over
s’en foutre		# don’t give a fuck
t'as pas de couilles	# you ain't got the balls	
t'es rien qu'un petit connard 	# you really are an asshole
t'es un salaud 		# you're a bastard
ta gueule 		# Shut the fuck/hell up!
trou du cul		# The literal, vulgar way to say asshole (body part)
va te faire enculer	# go fuck yourself	
va te faire foutre	# fuck you / go fuck yourself
