branler			# to jerk off -- but also means to shake or wobble
branleur		# wanker
brcon			# asshole/ b*tch / supid / unpleasant
chiant			# bloody annoying
chiante			# bloody annoying
conne			# asshole/ b*tch / supid / unpleasant
conneries		# bullsh*t
crétin			# cretin		
cul			# ass
dégage			# piss off
dégueu			# Disgusting/repugnant. only moderately obscene.
dégueulasse		# Disgusting/repugnant. only moderately obscene.
imbécile		# fool	
merde			# shit
putain			# literally means whore but works similarly as f*ck
sacrebleu		# My goodness! 
sacré Dieu     		# “sacred God” which was considered blasphemous
sacrébleu		# My goodness! 
s’emmerder		# bored shitless
tais-toi		# Shut-up. this isn’t so much obscene, as impolite.
zut 			# shoot/darn
bon sang		# good grief!
brûle en l’enfer	# Burn in hell
fais chier		# pisses [me] off
j'en ai marre	        # I'm fed up	   
j'en ai ral le bol    	# I'm really fed up
je m'en fou		# I don't give a shit	
je m'en fous		# I don't give a f*ck
la vache  		# oh crap
mon dieu		# my god
nom de dieu		# oh my god
oh la vache		# holy cow
quel salaud 	        # what a bastard!
rien à branler		# i/you/he/she/it/we/they don't/didn't give a shit/f*ck
se taire		# Shut-up. this isn’t so much obscene, as impolite.
s’en branler		# I don't give a flying f*ck
tu me fatigues		# you're annoying me	
tu me gonfles		# you're pissing me off	
zut alors		# shoot/darn
ça me fait chier	# that pisses me off
ça me saoûle		# that annoys me  (literally “it gets me drunk”)
