achterlijk	# "retarded"
achterlijke	# "retarded"
anaalridder	# "anus knight" insult
anusridder	# "anus knight" insult
beftekkel 	# "cunnilingus dachshund" / strongly meant "bitch"
bosneger	# "bushnegro"
chips		# shit
cunt		# stolen from english
debiel		# "moron" or "moronic"
doos		# asshole / dickhead / also slang for vagina
duitser		# slur for Germans from the war
eikel	  	# asshole / dickhead
flikker		# faggot / often with "off" to yield "fuck off", "get bent"
fock		# Fuck is an English loan word and is a common expletive, variation
fok		# "to breed". variation of English word fuck.
fuck		# Fuck is an English loan word and is a common expletive
fucken		# Fuck is an English loan word and is a common expletive, dutch variation
fucking		# Fuck is an English loan word and is a common expletive
geitenneuker	# "goat fucker" / Muslims or  Middle Eastern people slur
gele		# _______ insult for easter-asians
hoer		# wh*re
huppelkut	# literally: "skipping cunt"
kaaskop		# a word for ethnically Dutch people, mild
kankerautist	# "cancer autistic"
kankeren	# "to cancer" / "to bitch"
kankerkut	# "cancer cunt"
kankerlijer	# "cancer sufferer" slur can be cited for legal offense
kankermongool	# "cancer-mongoloid", "fucking retard"
kankerwijf	# cancer bitch
kk		# acronym for "cancer" or kankerkut "cancer cunt"
klere		# cholera - used as an expletive
klerelijer	# "cholera sufferer" / "motherfucker" / "fucker"
klerezooi	# a fucking mess / literally cholera rubbish
kloothommel 	# scrotum bumblebee
klootzak	# literally: "ball sack", scrotum, and is a common insult. "asshole" / "dickhead"
klote		# scrotum
knoflooklanden	# _______ insult for other europeans?
knoflookvreters	# _______ insult for other europeans?
koelie		# derogatory for people of Indonesian and Hindi(-Surinamese) origins
kolere		# cholera - used as an expletive
kreng		# literally: "cadaver", common insult aimed at women
kringspiermusketier	     # literally: "sphincter musketeer", insult at gay man
kut		# vagina expletive. / c*nt / "fucking sucks" / "sucks" / "like shit"
kuthoer		# c*nt wh*re
kuttekop	# asshole / dickhead
kuttekop	# vagina head insult to women
kutwijf		# bitch / literally a vagina woman / cunt woman/bitch
lijp		# slur for Jewish people / recently, has come to mean "cool", "interesting"
lul		# penis / asshole / dickhead
mocro		# ethnic slur for people of Moroccan descent, though largely reappropriated
mof		# ethnic slur for people of German descent, comparable to "kraut".
moffen		# slur for Germans from the war
moffenhoer	# Germanloving-whore
mongool		# mongoloid" insult, referring to Down syndrome "retard"
motherfucker	# stolen from english
muts		# asshole / dickhead
nigger		# stolen from english
nikker		# nigger, offensive slur towards black people
oostblokker	# _______ insult for someone from Eastern Europe
oppleuren   	# "to tuberculosis off", "to fuck off"
optiefen	# "fuck off". "go and get typhus"
pijpslet	# fellatio
pinda		# "peanut", ethnic slur vs people of Indonesian descent.
pleuris		# slang for tuberculosis, an expletive, "everything went to hell/shit"
pleurislijer	# "tuberculosis sufferer", "motherfucker"
pleuritis	# slang for tuberculosis, an expletive, "everything went to hell/shit"
poepchinees	# "poop Chinese", ethnic slur vs people of Asian descent.
poes		# "puss", "cat" / vagina
poesje		# "pussy"
pokkelijer	# sufferer insult combined with smallpox, "motherfucker"
pokkenlijer	# sufferer insult combined with smallpox, "motherfucker"
poot		# "animal leg/foot" is a crude word / "homosexual man"
pot		# "homosexual woman" / "dyke"
rasautist	# "race autistic"
reetkever	# "ass beetle" / gay man insult
rijsteter	# _______ insult for easter-asians
roetmop		# "soot mop" is an ethnic slur for black people.
rotzak		# "rotten sack" / "rotten testicles" insult / "asshole"
scheit		# shit
scheiß		# shit/crap stolen from german
scheiße		# shit/crap / bullshit/bollocks  stolen from german
scheißen  	# to sh--, crap  stolen from german
schijt		# "shit"
shit		# stolen from english
slet		# "rag" / slut
sletje 		# slut, diminutive
slettenbak	# slut
spaghettivreter	# "spaghetti [crude]eater", insult vs people of Italian descent / "wop"
spleetoog	# "slit eye". insulting term for Asian. mostly Chinese and Indonesian descent
stoephoer	# "sidewalk whore"
stommedoos    	# slang for vagina
stommekuttekop	# vagina head insult to women
takkelijer	# sufferer insult combined with stroke
takkewijf	# "stroke woman"
tasjesdief   	# morrocan purse stealer
teringlijer	# sufferer insult combined with tuberculosis, "motherfucker".
teringzooi	# a fucking mess / literally tuberculosis rubbish
trut		# common insult at women / slang word for vagina / bitch
tyfus		# typhoid fever, "to typhoid off", "fuck off"
tyfushoer 	# typhus wh*re
tyfuslijer	# sufferer insult combined with typhoid, "motherfucker".
varkensneuker	# a pig fucker.
zakkenwasser 	# douchebag
zandneger	# "sand negro", ethnic slur vs people of Middle Eastern descent.
Het kan mij geen ene reet schelen	# I don't give a fuck.
Het kan mij geen reet schelen	# I don't give a fuck.
krijg de kanker			# catch the cancer
krijg de klere			# catch the cholera / fuck off
krijg de kolere			# catch the cholera / fuck off
krijg de rot op			# fuck off
krijg de takke  		# "have the stroke" is used as an insult.
krijg de tering			# catch the tuberculosis, ", "go to hell"
krijg de tyfus			# catch the typhoid "fuck off"
rijden als een turk  		# turkish idiot driver - unclear on severity
roken als een turk   		# turkish idiot driver - unclear on severity
stomme hoer			# "dumb whore"
stomme kut			# "dumb cunt"
zwarte piet	     	  	# dark racist slur - meaning?
